Name,Title,Cost,EntryCost,Description,MOD,RO,RP-0,CATEGORY,INFO,TECHNOLOGY,YEAR,ERA,ORPHAN,RP0conf,SPACECRAFT,ENGINE CONFIG,UPGRADE,SAME,PLACEMENT NOTES,COST NOTES,DATE COSTED,ECM'S,IDENTICAL,Avion,DecA,DecB,EngLqdPF,EngLqdTurb,EngSolid,Haibt,Human,Instrum,Nuke,Reentry,Toxic,Decoup,Hydro,Balloon,SM,NonReentry,Unpress,Tank Type,Diameter,Length
bluedog_Delta_GEM60,GEM 60,1800,36000,"The 60-inch (1.5-meter) diameter GEM 60 is used on the Delta IV in sets of two or four. When two boosters are used, both are equipped with thrust vector control (TVC). When four are used, two boosters use TVC while the other two use fixed nozzles to reduce weight. Burn time 90 seconds. Diameter: [1.52 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1998,2002,09-INTL,,true,Delta IV,GEM-60,,,,,,GEM-60/Fixed,"bluedog_Delta_GEM60,CHAKAKWsrbGlobeIz,KWsrbGlobeX2,RO_KWsrbGlobeI_GEM60,RSBdeltaIVsrm",,,,,,X,,,,,,,,,,,,,,,
bluedog_Delta2_RS27,H-1/RS-27 Series,200,4000,"The H-1 is an upgrade to the LR79 engine that propelled the Saturn-I and IB vehicles, as well as late-model Delta rockets (as the RS-27). The H-1/RS-27 are optimized for the first-stage main engine role. The RS-27A has a higher expansion ratio for increased performance at altitude since liftoff thrust on the Delta II is augmented by solid boosters and the core burns rather longer. Diameter: [1.0 m]. Using the patented SSTU Engine-Clustering technology the number of engines, engine layout, mounting or shroud type, and mount/shroud size are configurable, and each set of engines are built to your specifications. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1961,1961,03-HUMAN,,true,Saturn I (H-1),H1,,,,,,H-1-SaturnI,"RSBengineH1,bluedog_Delta2_RS27,FASAApolloLFEH1,RO-H1-RS27,SSTU-SC-ENG-H1,KW2mengineMaverickV",,,,,X,,,,,,,,,,,,,,,,
bluedog_DeltaK_AJ10,AJ10 Series (Advanced),300,6000,"Small pressure-fed hypergolic upper stage engine. Derivative of the first US liquid rocket engine, the AJ10 series is perhaps the longest-lived of any engine series, a part of the US's first satellite launch vehicle, Vanguard, the Apollo CSM, and even one projected Orion service module. This represents advanced era AJ10s with a nozzle extension and restart capability. Used on Transtage as AJ10-138; similar models but back with the -118 designation were used on the Delta F and Delta K upper stages. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1986,1989,08-LONGTERM,,true,,AJ10_Adv,,,,,,AJ10-118F,"bluedog_DeltaK_AJ10,KW1mengineVestaVR1,SSTU-AJ10-CustomAdvanced,SXTAJ10Adv",,,,X,,,,,,,,X,,,,,,,,,
bluedog_Diamant_Asterix,Asterix Probe,,,"France's first satellite attained orbit in 1965. It was originally designated A-1, but later renamed after the popular comic character.",Bluedog DB,Yes,No,AVIONICS,Probe,matureAvionics,1965,04-ADV,,false,Asterix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluedog_Diamant_Diapason,Diapason/Diadème Probe,200,10000,The second French satellite was launched in 1966. It was attitude-stabilised by Earth's magnetic field and used for geodetic measurements. Two almost identical Diadème satellites followed a year later.,Bluedog DB,Yes,No,AVIONICS,Probe,matureAvionics,1966,04-ADV,,false,Diapason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluedog_Diamant_Rita,P4 (Rita 1),200,10000,"French solid motor, used in a submarine-launched missile and flown as the second stage of Diamant-BP4 rockets in 1975. Diameter: [1.50 m].",Bluedog DB,Yes,no,SOLID,,solids1964,1965,04-ADV,,false,Diamant,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Diamant_Rubis,P0.68,200,10000,3rd stage of Diamant rockets. This is the somewhat larger version used in B and BP4 variants. Diameter: [0.80 m].,Bluedog DB,Yes,No,SOLID,,solids1964,1965,04-ADV,,false,Diamant B,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Diamant_Topaze,P2.2 (Topaze),200,10000,Second stage of Diamant-A and -B rockets. Four vectorable nozzles provided roll control as well. Diameter: [0.85 m].,Bluedog DB,Yes,No,SOLID,,solids1964,1965,04-ADV,,false,Diamant,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Diamant_Vexin,,500,8000,,Bluedog DB,Yes,No,ORBITAL,,orbitalRocketry1964,1964,04-ADV,,false,Diamant,Vexin,,,,,,Vesta_sounding_rocket,,,,,,,,,,,,,,,,,,,,,,
bluedog_Explorer1,Explorer 1 Probe,158,3160,"Explorer 1, the first satellite launched by the United States, was a very simple scientific probe of less than a dozen kilograms. It featured a cosmic ray detector and micrometeorite detectors, as well as temperature sensors. Mercury batteries provided a month of electricity for the high power transmitter and another two and a half months for the low-power transmitter.",Bluedog DB,Yes,Yes,AVIONICS,Probe,earlyAvionics,1957,02-SAT,,true,Explorer 1,,,,,,,"1000, avioincsProbesEarly","bluedog_Explorer1,FASAExplorerProbe",X,,,,,,,,,,,,,,,,,,,,
bluedog_explorer7probe,Explorer 7 Probe,220,4400,"A 1959 satellite designed to measure fluxes of solar x-rays, hydrogen spectral lines and cosmic rays, as well as collect micrometeorite impact data.",Bluedog DB,Yes,Yes,AVIONICS,Probe,basicAvionics,1959,02-SAT,,true,Explorer 7,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
bluedog_Juno_EngineS3D,S-3D Liquid Engine,300,13000,,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1956,1956,02-SAT,,true,Thor,LR79,,,,,,S-3,"FASADeltaMB3LFE,liquidEngine1-2,bluedog_Juno_EngineS3D,bluedog_thorEngine,SHIP_LR_71",,,,,X,,,,,,,,,,,,,,,,
bluedog_LEM_Ascent_Cockpit,Apollo LEM Ascent Stage,8000,280000,"The Apollo LEM Ascent Stage provides accommodations for two astronauts to ride to the surface atop the LEM Decent Stage, then return to orbit. Includes integrated fuel tanks, RCS, and communications system. Put the ascent engine on the bottom, and the passive docking port on the top.",Bluedog DB,Yes,Yes,EDL,Lander,lunarLanding,1969,05-LUNAR,,true,Apollo LEM,,,,,,,,"bluedog_LEM_Ascent_Cockpit,FASALM_AscentStage,MEMLander",,,,,,,X,X,,,,,,,,,,,,,
bluedog_LEM_Ascent_Engine,Apollo Lunar Module Ascent Engine (LMAE),550,11000,Pressure-fed engine used for the ascent module of the Apollo lunar lander. Diameter: [0.86 m]. Plume configured by RealPlume.,Bluedog DB,Yes,Yes,EDL,Engine,lunarLanding,1969,05-LUNAR,,true,Apollo LEM,LMAE,,LMAE,,,,,"bluedog_LEM_Ascent_Engine,microEngineSE1,FASALM_AscentEngine,liquidEngineMini,SSTU-SC-ENG-LMAE",,,,X,,,,X,,,,,,,,,,,,,
bluedog_LEM_Descent_Engine,Apollo Lunar Module Descent Engine (LMDE),900,18000,"Deeply throttleable pressure-fed vacuum engine used for the descent module of the Apollo lunar lander. Uses storable propellants which are not subject to boiloff, but are far less efficient than hydrolox or even kerolox. The version used on J-class missions had slightly higher specific impulse (this, along with other changes, gave enough payload capacity for the rover, for example). A later variant (TR-201) was used on Delta as an upper stage engine (on Delta P series); this was a low-cost model with more restarts (4 instead of 2) and slightly higher thrust but lower efficiency and no throttling capability. Diameter: [1.5 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,EDL,Engine,lunarLanding,1969,05-LUNAR,,true,Apollo LEM,LMDE,,LMDE,,,,,"bluedog_LEM_Descent_Engine,enginelmodc,FASALM_DescentEngine,liquidEngine2-2,SSTU-SC-ENG-LMDE,LMDE",,,,X,,,,X,,,,,,,,,,,,,
bluedog_LEM_Descent_Tanks,Apollo LEM Descent Stage,9400,329000,"The Apollo LEM Descent Stage contains fuel tanks, landing stability system, and recessed engine mounting point for the Apollo LEM. Also includes a vertical mobility device for Ascent Cockpit ingress and egress. Engine attach node located inside the hole in the bottom.",Bluedog DB,Yes,Yes,EDL,Lander,lunarLanding,1969,05-LUNAR,,true,Apollo LEM,,,,,,,,"bluedog_LEM_Descent_Tanks,FASALM_DescentStage,MEMDescentMod",,,,,,,,X,,,,,,,,,,,,,
bluedog_LR87_mod1,LR87 Series,500,10000,"The main engine block for the Titan II/III/IV launch vehicles, with thrust plate. 1.93 O/F Ratio.",Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1959,1959,02-SAT,,true,,LR87,,,,,,LR87-AJ-3,"liquidEngineprodulVR2,FASAGeminiLR87Twin,rn_lr87_11,bluedog_LR87_mod1",,,,,X,,,,,,,,,,,,,,,,
bluedog_LR91_mod1,LR91 Series,250,5000,The LR91 powered the second stage of Titan launchers. Exhaust from the gas generator provided roll control. Diameter: [2.9 m]. Plume configured by RealPlume.,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1959,1959,02-SAT,,true,Titan,LR91,,,,,,LR91-AJ-3,"rn_lr91_11,liquidEngineorbit2,bluedog_LR91_mod2,bluedog_LR91_mod1,FASAGeminiLR91,FASAGeminiLR91Mini,rn_lr91_11_tp",,,,,X,,,,,,,,,,,,,,,,
bluedog_LR91_mod2,LR91 Series,250,5000,The LR91 powered the second stage of Titan launchers. Exhaust from the gas generator provided roll control. Diameter: [2.9 m]. Plume configured by RealPlume.,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1959,1959,02-SAT,,true,Titan,LR91,,,,,,LR91-AJ-3,"rn_lr91_11,liquidEngineorbit2,bluedog_LR91_mod2,bluedog_LR91_mod1,FASAGeminiLR91,FASAGeminiLR91Mini,rn_lr91_11_tp",,,,,X,,,,,,,,,,,,,,,,
bluedog_Pioneer1,Pioneer 1 Probe,170,3400,"The first spacecraft launched by NASA, in 1958. It was supposed to do a Moon flyby, but its rocket underperformed and it reentered the atmosphere two days after launch.",Bluedog DB,Yes,Yes,AVIONICS,Probe,earlyAvionics,1958,02-SAT,,true,Pioneer 1,,,,,,,,"pioneer_0_1_2,bluedog_Pioneer1",X,,,,,,,,,,,,,,,,,,,,
bluedog_Pioneer4,Pioneer 4 Probe,210,4200,"First US probe to escape Earth's gravitational pull after it flew by the Moon in 1959. The tiny spacecraft was spin-stabilised and carried a radiation experiment as well as two small photocells, which failed to trigger.",Bluedog DB,Yes,Yes,AVIONICS,Probe,earlyAvionics,1958,02-SAT,,true,Pioneer 4,,,,,,,,"pioneer_3_4,bluedog_Pioneer4",X,,,,,,,,,,,,,,,,,,,,
bluedog_rangerCore,Ranger Block I Core,1200,24000,Probe core used for early Ranger missions as well as (in stripped-down form)  the first Mariner missions.,Bluedog DB,Yes,Yes,AVIONICS,Probe,interplanetaryProbes,1961,03-HUMAN,,true,Ranger Block 1,,,,,,,,"bluedog_rangerCore,SXTHECSRanger",X,,,,,,,,,,,,,,,,,,,,
bluedog_redstone,NAA-75-110 A-Series,400,16000,"Used on the Redstone missile.  Designed for Ethanol/LOx (A-6) (1.5 O/F Ratio), it was later adapted to burn Hydyne/LOx (A-7) (1.73 O/F Ratio)(higher performance (12%) yet more toxic) for use in Jupiter C / Juno I.  When Redstone MRLV was adapted from Jupiter C for manned use the A7 was switched back to Ethanol, accepting slightly lower performance for lack of toxicity. Thrust Vector Control was provided by carbon thrust vanes (add the Redstone Fin / Thrust vane part in 4x symmetry), and additional attitude control was provided by actuating fins. Mass includes thrust frame. Diameter: [1.77 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,ORBITAL,,basicRocketryRP0,1952,01-PW,,true,Redstone,NAA75_110,,,,,,A-6,"bluedog_redstone,FASA_Mercury_Redstone_Eng,A7",,,,,X,,,,,,,,,,,,,,,,
bluedog_rl10,RL10 Series Vacuum Engine,1300,60000,"Hydrolox restartable expander-cycle vacuum engine used in multiple upper stages, including Centaur, the Saturn I S-IV, and the Delta Cryogenic Second Stage. It has low thrust, but very high specific impulse and low mass, making it ideal for high energy, beyond-low-Earth-orbit applications like launching satellites to geostationary transfer orbits or to the Moon or other planets. However, like all hydrolox engines, hydrogen boiloff is a serious issue without heat pumps or radiators. Diameter: [0.92 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,HYDROLOX,,prototypeHydrolox,1962,03-HUMAN,,true,Centaur,RL10,,,,,,RL10A-1,"KW1mengineMaverick1D,bluedog_rl10,FASAApolloLFERL10,engineLargeSkipper,SSTU-SC-ENG-RL10A-3,KW1mengineWildCatV",,,,,X,,,,,,,,,X,,,,,,,
bluedog_Saturn_S4_InstrumentUnit,Saturn I Instrument Unit,1500,30000,Guidance ring used for early Saturn I launches.,Bluedog DB,Yes,Yes,AVIONICS,Avionics,interplanetaryProbes,1961,03-HUMAN,,true,Saturn I,,,,,,,,"RSBprobeSaturn2,bluedog_Saturn_S4_InstrumentUnit,SXT375mProbe",X,,,,,,,,,,,,,,,,,,,,
bluedog_Soltan_Inline,100-Inch SRM (inline),5315,106300,"Inline version of the 3-segment motor designed for a solid-augmented Titan II around 1961. Four test firings were made, of which two ended with the nozzle disintegrating. Burn time roughly 80 seconds. Diameter: [2.54 m].",Bluedog DB,Yes,Yes,SOLID,,solids1962,1962,03-HUMAN,,true,Titan II (1961?),,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Soltan_Radial,100-Inch SRM,5315,106300,"3-segment motor designed for a solid-augmented Titan II around 1961. Four test firings were made, of which two ended with the nozzle disintegrating. Burn time roughly 80 seconds. Diameter: [2.54 m].",Bluedog DB,Yes,Yes,SOLID,,solids1962,1962,03-HUMAN,,true,Titan II (1961?),,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Soltan_SRBnose,100-Inch SRM nosecone,50,200,Nosecone and separation rocket for 100-inch solid motors. Diameter: [2.54 m].,Bluedog DB,Yes,Yes,SOLID,,solids1962,1962,03-HUMAN,,true,Titan II (1961?),,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_star20,Star 20/Altair III,80,100,"The lightweight, external nozzle is a composite of graphite, plastic, and steel. The consumable pyrogen igniter is actuated by two 6-second-delay electrical initiators or two SBASI zero-time-delay initiators. Diameter: [0.5 m]. Plume configured by RealPlume.",Bluedog DB,Yes,No,SOLID,,solids1972,1974,06-STATION,,false,,Star-20,,,,,,Star-20,"KK_ATK_Star20,bluedog_star20",,,,,,X,,,,,,,,,,,,,,,
bluedog_star31,Star 31/Antares III,150,200,Antares III is the third-generation third stage for Vought Corporation's Scout launch vehicle. The design incorporates an 89-percent-solids HTPB propellant in a Kevlar(r) filament-wound case insulated with silica-filled EPDM rubber. Diameter: [0.76 m]. Plume configured by RealPlume.,Bluedog DB,Yes,No,SOLID,,solids1976,1979,06-STATION,,false,Star 31,Star-31,,,,,,Star-31,"KK_ATK_Star31,bluedog_star31",,,,,,X,,,,,,,,,,,,,,,
bluedog_star37,Star 37FM,180,3600,"The STAR 37 is a vacuum solid rocket motor, originally developed for the Surveyor lunar lander program as a braking stage. Later variants were used exclusively as apogee kick stages. Diameter: 0.93 m. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1966,1966,04-ADV,,true,,Star-37FM,,,,,,STAR-37FM,"KK_ATK_Star37FM,ca_landv_srm,bluedog_star37,RO-STAR-37",,,,,,X,,,,,,,,,,,,,,,
bluedog_star48,Star 48B,1203,24060,"Also known as the Payload Assistance Module (PAM) B, this kick motor was used for Delta and STS launches to add extra impulse to the payload. This is the short-nozzle version. Maximum thrust 76.11kN, burn time 85 seconds. Diameter: [1.3 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1981,1985,07-SPCPLANES,,true,Star 48B,Star-48B,,,,,,Star-48B/Short,"KK_ATK_Star48B,bluedog_star48,solidBooster_sm,KK_ATK_Star48BV",,,,,,X,,,,,,,,,,,,,,,
bluedog_thorEngine,Thor/Delta LR-79,300,13000,,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1956,1956,02-SAT,,true,Thor,LR79,,,,,,S-3,"FASADeltaMB3LFE,liquidEngine1-2,bluedog_Juno_EngineS3D,bluedog_thorEngine,SHIP_LR_71",,,,,X,,,,,,,,,,,,,,,,
bluedog_Titan_SRB2seg,UA1204,5320,106400,,Bluedog DB,Yes,Yes,SOLID,,solids1962,1962,03-HUMAN,,true,,UA1204,,,,,,,"bluedog_Titan_SRB2seg,FASAGerminiSRB175_5Seg",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRB3seg,SRMU,7350,147000,"The Titan IVB Solid Rocket Motor Upgrade (SRMU, also know as the Upgraded Solid Rocket Motor or USRM), was developed with the goal of achieving a 25% increase in capacity over the Titan IVA with the UA1207 SRM. It achieved this through the use of a more energetic propellant and a 3-segment composite case that carried more fuel and weighed less than the UA1207's 7-segment steel case. Burn time 150 seconds, 3.2 m diameter. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1986,1989,08-LONGTERM,,true,Titan IV,SRMU,,,,,,SRMU,"bluedog_Titan_SRB3seg,KWsrbGlobeX10S,rn_srmu_mb",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRB5seg,UA1205,5320,106400,"Strap-on booster for Titan IIIC, IIID, IIIE, proposed for Saturn IB derivatives. Burn time 115s. Diameter: [3.05 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1964,1965,04-ADV,,true,UA1205,UA1205,,,,,,UA1205,"bluedog_Titan_SRB5seg,bluedog_Titan_SRB5segStack,solidBoosterMAX,FASAGerminiSRB175,FASAGerminiSRB175White,rn_ua1205",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRB5segStack,UA1205,5320,106400,"Strap-on booster for Titan IIIC, IIID, IIIE, proposed for Saturn IB derivatives. Burn time 115s. This is the (never flown, but proposed) inline version with two TVC tanks. Diameter: [3.05 m].",Bluedog DB,Yes,Yes,SOLID,,solids1964,1965,04-ADV,,true,UA1205,UA1205,,,,,,UA1205,"bluedog_Titan_SRB5seg,bluedog_Titan_SRB5segStack,solidBoosterMAX,FASAGerminiSRB175,FASAGerminiSRB175White,rn_ua1205",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRB7seg,UA1207,7218,144360,"The UA1207 was used on the Titan IVA, which was developed to launch payloads that had been designed to fly on the Shuttle from Vandenberg. It was a 7-segment modification of the 5-segment UA1205 used on the Titan 3. Burn time 130 seconds. Diameter: [3.05 m]. Plume configured by RealPlume.",Bluedog DB,Yes,Yes,SOLID,,solids1986,1989,08-LONGTERM,,true,UA1207,UA1207,,,,,,UA1207,"bluedog_Titan_SRB7seg,bluedog_Titan_SRB7segStack,KWsrbGlobeX10L,FASA_RO_UA1207,rn_ua1207",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRB7segStack,UA1207,7218,144360,"The UA1207 was used on the Titan IVA, which was developed to launch payloads that had been designed to fly on the Shuttle from Vandenberg. It was a 7-segment modification of the 5-segment UA1205 used on the Titan 3. Burn time 130 seconds. This is the (never flown, but proposed) inline version with 2 TVC tanks. Diameter: [3.05 m].",Bluedog DB,Yes,Yes,SOLID,,solids1986,1989,08-LONGTERM,,true,UA1207,UA1207,,,,,,UA1207,"bluedog_Titan_SRB7seg,bluedog_Titan_SRB7segStack,KWsrbGlobeX10L,FASA_RO_UA1207,rn_ua1207",,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_SRBnose,Titan SRM nosecone,50,200,,Bluedog DB,Yes,Yes,SOLID,,solids1964,1965,04-ADV,,true,Titan III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluedog_Titan_SRBseparator,Titan SRM separation motor,50,200,Lower separation motor for Titan solids.,Bluedog DB,Yes,Yes,SOLID,,solids1964,1965,04-ADV,,true,Titan III,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
bluedog_Titan_TranstageEngine,AJ10-138,2150,43000,,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1964,1964,04-ADV,,true,,AJ10_138,,,,,,AJ10-138,"bluedog_Titan_TranstageEngine,FASAGeminiLFECentarTwin",,,,X,,,,,,,,x,,,,,,,,,
bluedog_vanguardEngine,Vanguard X-405,400,12000,First stage engine used on the Vanguard launch vehicle. Plume configured by RealPlume.,Bluedog DB,Yes,Yes,ORBITAL,,orbitalRocketry1956,1956,02-SAT,,true,Vanguard,X405,,,,,,X-405,"bluedog_vanguardEngine,rn_x405,SXTX405",,,,,X,,,,,,,,,,,,,,,,
BMWIIIa,BMW IIIa,950,1,"WWI-era supercharged water-cooled straight six inline engine, rated at 230HP to 2km at 1400RPM (max). 9ft 2-blade fixed pitch propeller.",Firespitter,Yes,No,FLIGHT,Engine,unlockParts,0,00-START,,false,WWI,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
BNTR,BNTR,0,0,,Engine_Config,Yes,,NTR,,nuclearPropulsionNF,2021,11-NF,,,Bimodal NTR,BNTR,,,Study in 1991,,,,,,,,,,,,,,,,,,,,,,,,,
BuffaloCanard,Buffalo Canard,320,1800,"A half-sized version of the Buffalo Winglet, the canard helps inprove flight stability. (PART NOT SUPPORTED BY RP-0 OR RO)",WildBlue Buffalo Rover,No,No,,Control Surface,#N/A,,00-START,Yes,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuffaloElevon1,Type 1 Buffalo Elevon,400,3200,"Feel the need to attach an elevator, rudder or aileron to just about any surface you can get your mitts on? Well this small elevon is for you. Made of mostly new factory parts, it will fit just about anywhere. Just don't expect a huge performance out of such a small part. (PART NOT SUPPORTED BY RP-0 OR RO)",WildBlue Buffalo Rover,No,No,,Control Surface,#N/A,,00-START,Yes,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuffaloWinglet,Buffalo Winglet,640,1800,This winglet has a movable control surface that affords it the ability to alter a vessel's flight path. (PART NOT SUPPORTED BY RP-0 OR RO),WildBlue Buffalo Rover,No,No,,Wing,#N/A,,00-START,Yes,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumper_Body,A-4 Mid Section,30,1,Liquid Oxygen tank of A-4 rocket.,Taerobee,Yes,Yes,MATERIALS,Fuel Tank,unlockParts,0,00-START,,true,V-2,,,,,,,1,,,,,,,,,,,,,,,,,,,,Tank-I,1.65,2.9
Bumper_Control,A-4 Guidance Unit,300,1,"Early, inefficient guidance.",Taerobee,Yes,Yes,AVIONICS,Avionics,unlockParts,0,00-START,,true,,,,,,,,1,,X,,,,,,,,,,,,,,,,,,,,
Bumper_Engine,A-4,150,1,"Thiel Lox/Alcohol rocket engine. Used on V-2 missile. Work began June 1936. Interim design, but went into production. Used 18 x 1.5 tonne thrust chambers, feeding common mixing chamber. Tested from 1939, mass production 1943-1945. Diameter: [0.76 m]. Plume configured by RealPlume.",Taerobee,Yes,Yes,ORBITAL,FS Engine,unlockParts,0,00-START,,true,,A-4,,,,,,A-4,"Bumper_Engine,Bumper_Engine_Unclad",,,,,X,,,,,,,,,,,,,,,,
Bumper_Engine_Unclad,A-4,150,1,"Thiel Lox/Alcohol rocket engine. Used on V-2 missile. Work began June 1936. Interim design, but went into production. Used 18 x 1.5 tonne thrust chambers, feeding common mixing chamber. Tested from 1939, mass production 1943-1945. Diameter: [0.76 m]. Plume configured by RealPlume.",Taerobee,Yes,Yes,ORBITAL,FS Engine,unlockParts,0,00-START,,true,,A-4,,,,,,A-4,"Bumper_Engine,Bumper_Engine_Unclad",,,,,X,,,,,,,,,,,,,,,,
Bumper_Fin,A-4 Fin,5,1,Stability and control fin for A-4 rocket.,Taerobee,Yes,Yes,RCS,Fin,unlockParts,0,00-START,,true,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Bumper_Nose,A-4 Nose Section,30,1,Ethanol tank and nose section of A-4 rocket. Contains 738kg of ballast.,Taerobee,Yes,Yes,MATERIALS,Fuel Tank,unlockParts,0,00-START,,true,V-2,,,,,,,1,,,,,,,,,,,,,,,,,,,,Tank-I (Cone),1.65,6.2
ca_aacs,CA-AACS Advanced Attitude Control System,3700,10400,An integrated computer system utilizing two star trackers and ring laser gyroscopes (RLG) to provide attitude control information to the spacecraft.,Coatl Aerospace,Yes,No,RCS,RCS,unlockParts,,00-START,Yes,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_accelerometer,CA-SC103 Accelerometer,6000,8200,The SC103 has sensitive sensors that can detect seismic vibrations and vehicle accelerations.,Coatl Aerospace,Yes,No,SCIENCE,Accelerometer,unlockParts,,00-START,Yes,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ant_gps,CA-KPS KerbNet Position System Antenna,300,600,"This antenna provides access to the KerbNet system for very detailed tracking of the spacecraft's position. It can be used as a omni-directional antenna, but it is not very powerful (PART NOT SUPPORTED BY RP-0 OR RO)",Coatl Aerospace,No,No,,,#N/A,,00-START,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_barometer,CA-SC102 Barometer,1,1,The SC102 measures the local atmospheric pressure.,Coatl Aerospace,Yes,Yes,SCIENCE,Barometer,unlockParts,0,00-START,Yes,true,,,,,,,,1,"PAPBarometer,ca_barometer,sensorBarometer",,,,,,,,,X,,,,,,,,,,,,
ca_battery_l,CA-300i Battery,240,2400,A 500 Wh capacity battery.,Coatl Aerospace,Yes,Yes,POWER,Battery,avionicsPrototypes,1952,01-PW,,true,,,,,1800 EC,,,,,,,,,,,,,,,,,,,,,,,,,
ca_battery_m,CA-100i Battery,80,800,A 170 Wh capacity battery.,Coatl Aerospace,Yes,Yes,POWER,Battery,avionicsPrototypes,1952,01-PW,,true,,,,,600 EC,,,,,,,,,,,,,,,,,,,,,,,,,
ca_battery_s,CA-25i Battery,25,200,A 85 Wh capacity battery. Low profile for easier placement.,Coatl Aerospace,Yes,Yes,POWER,Battery,avionicsPrototypes,1952,01-PW,,true,,,,,300 EC,,,,,,,,,,,,,,,,,,,,,,,,,
ca_DUSTC,CA-DUST-C Dust Sample Collector,1200,7200,The DUST-C array features an aerogel - coated collector for trapping the dust particles to return them to Earth for analysis. NOTE: heat shield and parachutes are not included.,Coatl Aerospace,Yes,No,SCIENCE,Dust Sample,advancedScience,1999,09-INTL,Yes,false,Stardust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_DUSTX,CA-DUST-X Cosmic Dust Counter,3500,9300,"The DUST-X is an instrument that collects dust particles and provides information about their size, speed and direction.",Coatl Aerospace,Yes,No,SCIENCE,Dust Counter,advancedScience,2006,09-INTL,Yes,false,New Horizons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ELIX,CA-ELIX Electrostatic & Ionization Experiment,3250,4100,"The ELIX is an electrostatic analyzer for analyzing the synthesis of charged particles. By employing electric and magnetic fields ELIX concentrates and separates the different particles by their mass and charge, allowing for very precise measurements of plasma density, velocity and distribution.",Coatl Aerospace,Yes,No,SCIENCE,Electrostatic & Ionization,scienceHuman,1961,03-HUMAN,Yes,false,Ranger Block 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ESM,Pioneer 10/11 Science Package,980,8100,An integrated science package originally designed for the Pioneer 10 & 11 deep space probes. Includes a thermal control system with a thermal rejection capability of 50 Watts.,Coatl Aerospace,Yes,No,SCIENCE,,deepSpaceScience,1972,06-STATION,Yes,false,Pioneer 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ESM2,CA-ESM2 Quetzal Extended Service Module,1250,9500,"When life give you lemons (or broken Quetzal probes from the factory), learn to make lemonade (Stick inside of them a fuel tank, batteries, new electronics). Profit! (PART NOT SUPPORTED BY RP-0 OR RO)",Coatl Aerospace,No,No,,Other,#N/A,,00-START,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
